what,kind,bundleId,bundleVersion,description,time
stopped,bundle,com.instantiations.designer.core.databinding,8.1.1.r36x201012161228,"com.instantiations.designer.core.databinding",1312448122851
stopped,bundle,com.instantiations.designer.rcp.GroupLayout,8.1.1.r36x201012170653,"com.instantiations.designer.rcp.GroupLayout",1312448122852
stopped,bundle,com.instantiations.designer.rcp.SWT_AWT,8.1.1.r36x201012170702,"com.instantiations.designer.rcp.SWT_AWT",1312448122852
stopped,bundle,com.instantiations.designer.rcp.nebula,8.1.1.r36x201012170653,"com.instantiations.designer.rcp.nebula",1312448122852
stopped,bundle,com.instantiations.designer.rcp.swing2swt,8.1.1.r36x201012170653,"com.instantiations.designer.rcp.swing2swt",1312448122853
stopped,bundle,com.instantiations.designer.xwt,8.1.1.r36x201012170700,"com.instantiations.designer.xwt",1312448122854
stopped,bundle,com.instantiations.designer.rcp,8.1.1.r36x201012170653,"com.instantiations.designer.rcp",1312448122854
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1312448122855
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1312448122856
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1312448122857
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1312448122858
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1312448122859
stopped,bundle,org.eclipse.wb.core.databinding.xml,0.9.0.r36x201102111443,"org.eclipse.wb.core.databinding.xml",1312448122860
stopped,bundle,org.eclipse.wb.core.databinding,0.9.0.r36x201102111430,"org.eclipse.wb.core.databinding",1312448122861
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1312448122861
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1312448122862
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1312448122863
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1312448122864
stopped,bundle,com.google.appengine.eclipse.sdkbundle.1.4.2,1.4.2.v201102111811,"com.google.appengine.eclipse.sdkbundle.1.4.2",1312448122864
stopped,bundle,com.google.gdt.eclipse.maven,2.2.0.v201102111811,"com.google.gdt.eclipse.maven",1312448122865
stopped,bundle,com.google.gdt.eclipse.suite,2.2.0.v201102111811,"com.google.gdt.eclipse.suite",1312448122865
stopped,bundle,com.google.appengine.eclipse.core,2.2.0.v201102111811,"com.google.appengine.eclipse.core",1312448122866
stopped,bundle,com.google.gwt.eclipse.oophm,2.2.0.v201102111811,"com.google.gwt.eclipse.oophm",1312448122866
stopped,bundle,com.google.gwt.eclipse.sdkbundle.2.2.0,2.2.0.v201102111811,"com.google.gwt.eclipse.sdkbundle.2.2.0",1312448122867
stopped,bundle,com.google.gwt.eclipse.core,2.2.0.v201102111811,"com.google.gwt.eclipse.core",1312448122868
stopped,bundle,com.google.gdt.eclipse.core,2.2.0.v201102111811,"com.google.gdt.eclipse.core",1312448122868
stopped,bundle,com.google.gdt.eclipse.platform,2.2.0.v201102111811,"com.google.gdt.eclipse.platform",1312448122869
stopped,bundle,com.google.gdt.eclipse.platform.e36,2.2.0.v201102111811,"com.google.gdt.eclipse.platform.e36",1312448122869
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1312448122870
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1312448122870
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1312448122871
stopped,bundle,com.instantiations.designer.gwt.ExtGWT,8.1.1.r36x201012170650,"com.instantiations.designer.gwt.ExtGWT",1312448122871
stopped,bundle,com.instantiations.designer.gwt.GWTExt,8.1.1.r36x201012170650,"com.instantiations.designer.gwt.GWTExt",1312448122872
stopped,bundle,com.instantiations.designer.gwt.SmartGWT,8.1.1.r36x201012170650,"com.instantiations.designer.gwt.SmartGWT",1312448122872
stopped,bundle,com.instantiations.designer.gwt.UiBinder.wizards,8.1.1.r36x201012170650,"com.instantiations.designer.gwt.UiBinder.wizards",1312448122873
stopped,bundle,com.instantiations.designer.gwt.UiBinder,8.1.1.r36x201012170442,"com.instantiations.designer.gwt.UiBinder",1312448122873
stopped,bundle,com.instantiations.designer.gwt.launch,8.1.1.r36x201012170650,"com.instantiations.designer.gwt.launch",1312448122873
stopped,bundle,com.instantiations.designer.gwt.preferences,8.1.1.r36x201012170650,"com.instantiations.designer.gwt.preferences",1312448122874
stopped,bundle,com.instantiations.designer.gwt.wizards,8.1.1.r36x201012170650,"com.instantiations.designer.gwt.wizards",1312448122874
stopped,bundle,com.instantiations.designer.gwt,8.1.1.r36x201012170442,"com.instantiations.designer.gwt",1312448122875
stopped,bundle,com.google.gdt.eclipse.designer.UiBinder,2.2.0.r36x201102111505,"com.google.gdt.eclipse.designer.UiBinder",1312448122875
